Day,chatGPT searches rating: (United States)
1/1/23,14
1/2/23,21
1/3/23,26
1/4/23,35
1/5/23,38
1/6/23,39
1/7/23,37
1/8/23,39
1/9/23,33
1/10/23,58
1/11/23,70
1/12/23,62
1/13/23,62
1/14/23,52
1/15/23,51
1/16/23,54
1/17/23,64
1/18/23,63
1/19/23,53
1/20/23,54
1/21/23,48
1/22/23,43
1/23/23,75
1/24/23,74
1/25/23,67
1/26/23,73
1/27/23,73
1/28/23,56
1/29/23,69
1/30/23,68
1/31/23,75
2/1/23,65
2/2/23,68
2/3/23,70
2/4/23,71
2/5/23,65
2/6/23,87
2/7/23,96
2/8/23,99
2/9/23,99
2/10/23,85
2/11/23,87
2/12/23,87
2/13/23,86
2/14/23,93
2/15/23,78
2/16/23,81
2/17/23,77
2/18/23,74
2/19/23,81
2/20/23,80
2/21/23,72
2/22/23,78
2/23/23,90
2/24/23,68
2/25/23,61
2/26/23,75
2/27/23,79
2/28/23,78
3/1/23,68
3/2/23,77
3/3/23,72
3/4/23,58
3/5/23,59
3/6/23,75
3/7/23,76
3/8/23,72
3/9/23,76
3/10/23,73
3/11/23,62
3/12/23,62
3/13/23,72
3/14/23,78
3/15/23,92
3/16/23,97
3/17/23,91
3/18/23,77
3/19/23,81
3/20/23,97
3/21/23,94
3/22/23,90
3/23/23,87
3/24/23,91
3/25/23,81
3/26/23,78
3/27/23,86
3/28/23,98
3/29/23,95
3/30/23,96
3/31/23,100
4/1/23,77
4/2/23,82
4/3/23,88
4/4/23,98
4/5/23,89
4/6/23,100
4/7/23,88
4/8/23,82
4/9/23,80
4/10/23,85
4/11/23,86
4/12/23,80
4/13/23,79
4/14/23,88
4/15/23,68
4/16/23,62
4/17/23,82
4/18/23,95
4/19/23,94
4/20/23,81
4/21/23,83
4/22/23,78
4/23/23,69
4/24/23,79
4/25/23,82
4/26/23,74
4/27/23,76
4/28/23,84
4/29/23,69
4/30/23,62
5/1/23,86
5/2/23,82
5/3/23,81
5/4/23,80
5/5/23,74
5/6/23,58
5/7/23,72
5/8/23,78
5/9/23,74
5/10/23,86
5/11/23,71
5/12/23,65
5/13/23,65
5/14/23,59
5/15/23,71
5/16/23,84
5/17/23,80
5/18/23,76
5/19/23,79
5/20/23,60
5/21/23,67
5/22/23,78
5/23/23,79
5/24/23,63
5/25/23,76
5/26/23,73
5/27/23,61
5/28/23,56
5/29/23,66
5/30/23,75
5/31/23,71
6/1/23,74
6/2/23,53
6/3/23,47
6/4/23,55
6/5/23,56
6/6/23,60
6/7/23,61
6/8/23,56
6/9/23,57
6/10/23,48
6/11/23,49
6/12/23,58
6/13/23,55
6/14/23,57
6/15/23,58
6/16/23,50
6/17/23,48
6/18/23,43
6/19/23,52
6/20/23,61
6/21/23,56
6/22/23,52
6/23/23,45
6/24/23,44
6/25/23,43
6/26/23,52
6/27/23,48
6/28/23,53
6/29/23,58
6/30/23,52
7/1/23,34
7/2/23,44
7/3/23,44
7/4/23,40
7/5/23,48
7/6/23,47
7/7/23,41
7/8/23,42
7/9/23,45
7/10/23,50
7/11/23,47
7/12/23,53
7/13/23,49
7/14/23,45
7/15/23,45
7/16/23,41
7/17/23,46
7/18/23,50
7/19/23,46
7/20/23,43
7/21/23,38
7/22/23,34
7/23/23,38
7/24/23,41
7/25/23,44
7/26/23,47
7/27/23,42
7/28/23,44
7/29/23,33
7/30/23,43
7/31/23,42
8/1/23,45
8/2/23,45
8/3/23,44
8/4/23,35
8/5/23,34
8/6/23,36
8/7/23,37
8/8/23,40
8/9/23,38
8/10/23,35
8/11/23,46
8/12/23,37
8/13/23,33
8/14/23,44
8/15/23,40
8/16/23,43
8/17/23,33
8/18/23,31
8/19/23,33
8/20/23,31
8/21/23,40
8/22/23,35
8/23/23,39
8/24/23,50
8/25/23,32
8/26/23,29
8/27/23,28
8/28/23,33
8/29/23,35
8/30/23,39
8/31/23,41
9/1/23,36
9/2/23,30
9/3/23,32
9/4/23,38
9/5/23,42
9/6/23,47
9/7/23,49
9/8/23,40
9/9/23,29
9/10/23,29
9/11/23,44
9/12/23,41
9/13/23,39
9/14/23,39
9/15/23,41
9/16/23,38
9/17/23,41
9/18/23,47
9/19/23,40
9/20/23,46
9/21/23,43